/home/sww35/openresearch/.venv/lib/python3.12/site-packages/transformers/utils/hub.py:110: FutureWarning: Using `TRANSFORMERS_CACHE` is deprecated and will be removed in v5 of Transformers. Use `HF_HOME` instead.
  warnings.warn(
`torch_dtype` is deprecated! Use `dtype` instead!
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00, 66.46it/s]
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00, 69.74it/s]
`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
Caching is incompatible with gradient checkpointing in Qwen3DecoderLayer. Setting `past_key_values=None`.
/home/sww35/openresearch/.venv/lib/python3.12/site-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
[alfworld:sdar:qwen3_1b7] step 1/150 loss=-0.0008 reward=0.006 gate=0.000 opsd=0.0000 wall=5.0s
[alfworld:sdar:qwen3_1b7] step 2/150 loss=0.1240 reward=0.004 gate=0.188 opsd=0.0287 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 3/150 loss=0.0952 reward=0.013 gate=0.938 opsd=0.9766 wall=4.1s
[alfworld:sdar:qwen3_1b7] step 4/150 loss=0.3867 reward=0.006 gate=0.000 opsd=-0.0008 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 5/150 loss=0.0217 reward=0.014 gate=0.438 opsd=0.1650 wall=4.0s
[alfworld:sdar:qwen3_1b7] step 6/150 loss=0.0183 reward=0.015 gate=0.531 opsd=0.2021 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 7/150 loss=-0.0352 reward=0.018 gate=0.500 opsd=0.1748 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 8/150 loss=0.0156 reward=0.009 gate=0.750 opsd=0.4336 wall=4.2s
[alfworld:sdar:qwen3_1b7] step 9/150 loss=0.1133 reward=0.004 gate=0.031 opsd=0.0762 wall=4.1s
[alfworld:sdar:qwen3_1b7] step 10/150 loss=0.0928 reward=0.008 gate=0.969 opsd=1.0234 wall=4.1s
