/home/sww35/openresearch/.venv/lib/python3.12/site-packages/transformers/utils/hub.py:110: FutureWarning: Using `TRANSFORMERS_CACHE` is deprecated and will be removed in v5 of Transformers. Use `HF_HOME` instead.
  warnings.warn(
`torch_dtype` is deprecated! Use `dtype` instead!
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00, 73.12it/s]
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00, 69.49it/s]
`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
Caching is incompatible with gradient checkpointing in Qwen3DecoderLayer. Setting `past_key_values=None`.
/home/sww35/openresearch/.venv/lib/python3.12/site-packages/torch/utils/checkpoint.py:87: UserWarning: None of the inputs have requires_grad=True. Gradients will be None
  warnings.warn(
[search_qa:sdar:qwen3_1b7] step 1/150 loss=-0.0000 reward=0.000 gate=0.000 opsd=-0.0000 wall=4.3s
[search_qa:sdar:qwen3_1b7] step 2/150 loss=-0.1138 reward=0.082 gate=1.000 opsd=-1.7812 wall=4.0s
[search_qa:sdar:qwen3_1b7] step 3/150 loss=-0.5898 reward=0.000 gate=1.000 opsd=-5.9062 wall=3.8s
[search_qa:sdar:qwen3_1b7] step 4/150 loss=-0.9180 reward=0.000 gate=1.000 opsd=-9.1875 wall=4.0s
[search_qa:sdar:qwen3_1b7] step 5/150 loss=-0.8867 reward=0.000 gate=1.000 opsd=-8.8750 wall=3.7s
[search_qa:sdar:qwen3_1b7] step 6/150 loss=-1.3672 reward=0.000 gate=1.000 opsd=-13.6875 wall=4.1s
[search_qa:sdar:qwen3_1b7] step 7/150 loss=-1.7734 reward=0.000 gate=1.000 opsd=-17.7500 wall=4.0s
[search_qa:sdar:qwen3_1b7] step 8/150 loss=-2.1562 reward=0.000 gate=1.000 opsd=-21.5000 wall=3.9s
[search_qa:sdar:qwen3_1b7] step 9/150 loss=-2.8125 reward=0.000 gate=1.000 opsd=-28.1250 wall=3.7s
[search_qa:sdar:qwen3_1b7] step 10/150 loss=-2.6562 reward=0.000 gate=0.969 opsd=-26.5000 wall=4.1s
