[search_qa:sdar:qwen2_5_3b] selected device=cuda:0
/home/sww35/openresearch/.venv/lib/python3.12/site-packages/transformers/utils/hub.py:110: FutureWarning: Using `TRANSFORMERS_CACHE` is deprecated and will be removed in v5 of Transformers. Use `HF_HOME` instead.
  warnings.warn(
`torch_dtype` is deprecated! Use `dtype` instead!
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:  50%|█████     | 1/2 [00:00<00:00,  1.79it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00,  2.60it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00,  2.44it/s]
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:  50%|█████     | 1/2 [00:00<00:00,  1.86it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00,  2.64it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00,  2.48it/s]
`use_cache=True` is incompatible with gradient checkpointing. Setting `use_cache=False`.
Caching is incompatible with gradient checkpointing in Qwen2DecoderLayer. Setting `past_key_values=None`.
[search_qa:sdar:qwen2_5_3b] step 1/150 loss=0.0000 reward=0.000 gate=0.000 opsd=0.0000 wall=6.0s
[search_qa:sdar:qwen2_5_3b] step 2/150 loss=0.0442 reward=0.025 gate=0.000 opsd=-0.0157 wall=5.2s
[search_qa:sdar:qwen2_5_3b] step 3/150 loss=-0.0015 reward=0.000 gate=0.031 opsd=-0.0152 wall=5.1s
[search_qa:sdar:qwen2_5_3b] step 4/150 loss=-0.0016 reward=0.000 gate=0.062 opsd=-0.0157 wall=5.2s
[search_qa:sdar:qwen2_5_3b] step 5/150 loss=0.0732 reward=0.013 gate=0.000 opsd=-0.0182 wall=5.1s
[search_qa:sdar:qwen2_5_3b] step 6/150 loss=0.0544 reward=0.041 gate=0.500 opsd=0.2021 wall=5.2s
[search_qa:sdar:qwen2_5_3b] step 7/150 loss=0.0620 reward=0.035 gate=0.000 opsd=-0.0187 wall=5.2s
[search_qa:sdar:qwen2_5_3b] step 8/150 loss=0.0160 reward=0.000 gate=0.438 opsd=0.1602 wall=5.1s
[search_qa:sdar:qwen2_5_3b] step 9/150 loss=-0.0047 reward=0.007 gate=0.125 opsd=0.0172 wall=5.1s
[search_qa:sdar:qwen2_5_3b] step 10/150 loss=-0.0010 reward=0.000 gate=0.125 opsd=-0.0097 wall=5.6s
[search_qa:sdar:qwen2_5_3b] step 11/150 loss=-0.0013 reward=0.000 gate=0.000 opsd=-0.0126 wall=5.0s
[search_qa:sdar:qwen2_5_3b] step 12/150 loss=-0.0009 reward=0.000 gate=0.094 opsd=-0.0088 wall=5.2s
[search_qa:sdar:qwen2_5_3b] step 13/150 loss=0.0918 reward=0.009 gate=0.062 opsd=-0.0106 wall=5.2s
[search_qa:sdar:qwen2_5_3b] step 14/150 loss=0.0386 reward=0.000 gate=0.719 opsd=0.3867 wall=5.5s
[search_qa:sdar:qwen2_5_3b] step 15/150 loss=-0.0017 reward=0.000 gate=0.000 opsd=-0.0171 wall=5.4s
[search_qa:sdar:qwen2_5_3b] step 16/150 loss=-0.0021 reward=0.000 gate=0.000 opsd=-0.0210 wall=5.1s
[search_qa:sdar:qwen2_5_3b] step 17/150 loss=-0.0109 reward=0.036 gate=0.000 opsd=-0.0152 wall=5.0s
[search_qa:sdar:qwen2_5_3b] step 18/150 loss=-0.0002 reward=0.000 gate=0.219 opsd=-0.0025 wall=5.2s
[search_qa:sdar:qwen2_5_3b] step 19/150 loss=-0.0003 reward=0.000 gate=0.062 opsd=-0.0028 wall=5.0s
[search_qa:sdar:qwen2_5_3b] step 20/150 loss=0.0569 reward=0.031 gate=0.375 opsd=0.0859 wall=5.4s
[search_qa:sdar:qwen2_5_3b] step 21/150 loss=0.0037 reward=0.000 gate=0.250 opsd=0.0366 wall=5.1s
[search_qa:sdar:qwen2_5_3b] step 22/150 loss=0.0121 reward=0.009 gate=0.250 opsd=0.0139 wall=5.2s
[search_qa:sdar:qwen2_5_3b] step 23/150 loss=0.0092 reward=0.000 gate=0.406 opsd=0.0923 wall=5.2s
[search_qa:sdar:qwen2_5_3b] step 24/150 loss=0.0186 reward=0.027 gate=0.094 opsd=0.0483 wall=5.1s
[search_qa:sdar:qwen2_5_3b] step 25/150 loss=0.0039 reward=0.000 gate=0.188 opsd=0.0393 wall=5.3s
[search_qa:sdar:qwen2_5_3b] step 26/150 loss=0.0349 reward=0.033 gate=0.156 opsd=0.0014 wall=5.6s
[search_qa:sdar:qwen2_5_3b] step 27/150 loss=0.0109 reward=0.027 gate=0.406 opsd=0.0884 wall=5.1s
[search_qa:sdar:qwen2_5_3b] step 28/150 loss=0.0898 reward=0.032 gate=0.812 opsd=0.5312 wall=5.3s
[search_qa:sdar:qwen2_5_3b] step 29/150 loss=0.0085 reward=0.000 gate=0.406 opsd=0.0850 wall=5.0s
[search_qa:sdar:qwen2_5_3b] step 30/150 loss=-0.0089 reward=0.006 gate=0.188 opsd=-0.0068 wall=5.2s
[search_qa:sdar:qwen2_5_3b] step 31/150 loss=-0.0004 reward=0.000 gate=0.125 opsd=-0.0040 wall=5.1s
[search_qa:sdar:qwen2_5_3b] step 32/150 loss=-0.0001 reward=0.000 gate=0.125 opsd=-0.0005 wall=5.0s
[search_qa:sdar:qwen2_5_3b] step 33/150 loss=-0.0139 reward=0.019 gate=0.219 opsd=-0.0033 wall=5.0s
[search_qa:sdar:qwen2_5_3b] step 34/150 loss=-0.0017 reward=0.000 gate=0.000 opsd=-0.0166 wall=5.2s
[search_qa:sdar:qwen2_5_3b] step 35/150 loss=0.1270 reward=0.049 gate=0.188 opsd=0.0199 wall=5.1s
[search_qa:sdar:qwen2_5_3b] step 36/150 loss=0.0054 reward=0.000 gate=0.438 opsd=0.0544 wall=5.0s
[search_qa:sdar:qwen2_5_3b] step 37/150 loss=0.0040 reward=0.000 gate=0.375 opsd=0.0403 wall=5.2s
[search_qa:sdar:qwen2_5_3b] step 38/150 loss=-0.0109 reward=0.034 gate=0.344 opsd=0.1289 wall=5.3s
[search_qa:sdar:qwen2_5_3b] step 39/150 loss=0.0295 reward=0.009 gate=0.281 opsd=0.0194 wall=5.3s
[search_qa:sdar:qwen2_5_3b] step 40/150 loss=0.0165 reward=0.000 gate=0.438 opsd=0.1650 wall=5.0s
[search_qa:sdar:qwen2_5_3b] step 41/150 loss=0.0135 reward=0.000 gate=0.219 opsd=0.1348 wall=5.3s
[search_qa:sdar:qwen2_5_3b] step 42/150 loss=0.0054 reward=0.000 gate=0.250 opsd=0.0540 wall=5.1s
[search_qa:sdar:qwen2_5_3b] step 43/150 loss=0.0001 reward=0.000 gate=0.062 opsd=0.0007 wall=6.1s
[search_qa:sdar:qwen2_5_3b] step 44/150 loss=0.0036 reward=0.021 gate=0.156 opsd=0.0237 wall=5.1s
[search_qa:sdar:qwen2_5_3b] step 45/150 loss=-0.0205 reward=0.046 gate=0.281 opsd=0.0400 wall=5.1s
[search_qa:sdar:qwen2_5_3b] step 46/150 loss=0.0064 reward=0.000 gate=0.312 opsd=0.0645 wall=5.4s
[search_qa:sdar:qwen2_5_3b] step 47/150 loss=0.0210 reward=0.018 gate=0.219 opsd=0.0410 wall=5.2s
[search_qa:sdar:qwen2_5_3b] step 48/150 loss=-0.0015 reward=0.000 gate=0.031 opsd=-0.0154 wall=5.2s
[search_qa:sdar:qwen2_5_3b] step 49/150 loss=0.8047 reward=0.003 gate=0.031 opsd=-0.0129 wall=5.1s
[search_qa:sdar:qwen2_5_3b] step 50/150 loss=0.0679 reward=0.036 gate=0.094 opsd=-0.0005 wall=5.3s
[search_qa:sdar:qwen2_5_3b] step 51/150 loss=0.0381 reward=0.004 gate=0.375 opsd=0.4609 wall=5.2s
[search_qa:sdar:qwen2_5_3b] step 52/150 loss=0.0347 reward=0.000 gate=0.281 opsd=0.3477 wall=5.5s
[search_qa:sdar:qwen2_5_3b] step 53/150 loss=0.0474 reward=0.019 gate=0.406 opsd=0.1904 wall=5.2s
[search_qa:sdar:qwen2_5_3b] step 54/150 loss=0.0522 reward=0.000 gate=0.406 opsd=0.5234 wall=5.0s
